Number,FeatureName,Train_R^2,Train_RMSE,Ttrain_NRMSE,Train_Pear,Train_Spea,Test_R^2,Test_RMSE,Test_NRMSE,Test_Pear,Test_Spea
1,BA_tau-3th,,,,,,,,,,
2,Hydrophobicity_distribution_H-0.0,,,,,,,,,,
3,Hydrophobicity_distribution_H-0.25,0.193936466,0.4116587,0.897236316,0.435830838,0.440500821,0.002545674,0.445210283,0.980616533,0.383408823,0.393627451
4,Dul-AAC_RR,0.291538233,0.385208495,0.84019303,0.534983679,0.550605031,0.137738017,0.414976292,0.924586133,0.504713972,0.572058824
5,SS8_distribution_C-0.25,0.290619294,0.385388379,0.84058992,0.533658887,0.546199947,0.128686441,0.417205738,0.929703758,0.493203415,0.565686275
6,Polarity_distribution_H-1.0,0.297879998,0.383432694,0.836274898,0.540570811,0.566851166,0.142417148,0.41455147,0.922323883,0.492447399,0.555392157
7,HSEa-d-2nd,0.353886585,0.367862887,0.802102241,0.590823551,0.595136848,0.157341586,0.411115701,0.911666031,0.501335035,0.504411765
8,AAC_R,0.459773099,0.33657083,0.734089609,0.676934593,0.605054014,0.009503405,0.440461367,0.988854021,0.446709275,0.417647059
9,AAC_H,0.512567941,0.32000313,0.698001518,0.715787934,0.654303928,-0.019627366,0.448388305,1.000996682,0.447904116,0.467156863
10,Hydrophobicity_distribution_N-0.75,0.511418719,0.320375752,0.698787999,0.714950944,0.653746612,-0.079955069,0.459359827,1.032420528,0.438382241,0.447058824
11,P(3-H)-3th,0.516735671,0.318593041,0.694961318,0.718651183,0.648417758,-0.138158935,0.469658107,1.059055586,0.41560136,0.385294118
12,Hydrophobicity_distribution_N-0.5,0.513886255,0.319514768,0.697017365,0.716671882,0.647509257,-0.175390467,0.477402814,1.077580889,0.393291412,0.38872549
13,SS3_distribution_C-0.25,0.511299086,0.320363244,0.698873117,0.714864094,0.648547544,-0.150270037,0.47279943,1.066810808,0.40269499,0.391666667
14,Hydrophobicity_composition_H,0.54223551,0.309759786,0.676156794,0.73603407,0.699148757,0.145303483,0.407690978,0.920258717,0.542180178,0.548039216
15,Hydrophobicity_transition_NH,0.53991951,0.310557502,0.677869401,0.734456235,0.709012482,0.130469657,0.411652909,0.928693341,0.532933593,0.555882353
16,BA_theta-3th,0.541606557,0.309978986,0.676600626,0.735585855,0.708462801,0.133248635,0.41110036,0.927155427,0.532318004,0.555392157
17,Hydrophobicity_distribution_P-0.25,0.548192115,0.307838883,0.671865907,0.740174521,0.707630645,0.150945334,0.406356052,0.91685433,0.542653085,0.530392157
18,Polarity_composition_H,0.559090976,0.304066697,0.663617202,0.747451983,0.71089056,0.152034711,0.405559376,0.915551769,0.550274165,0.540196078
