Number ,FeatureName,train_R^2,train_RMSE,train_NRMSE,train_Pear,train_Spea,test_R^2,test_RMSE,test_NRMSE,test_Pear,test_Spea
1,BA_tau-3th,,,,,,,,,,
2,Hydrophobicity_distribution_H-0.0,,,,,,,,,,
3,Polarity_composition_P,0.345098254,0.370761893,0.807884669,0.584411535,0.704920411,0.313751559,0.369114109,0.821197398,0.642226736,0.645588235
4,Dul-AAC_GT,0.381702811,0.360165404,0.784547946,0.614576342,0.694453563,0.345250338,0.359442974,0.79801985,0.650679751,0.716176471
5,Dul-AAC_HK,0.408335684,0.35241716,0.767765206,0.636733819,0.71181433,0.364239703,0.352499007,0.7837412,0.6652102,0.738235294
6,Dul-AAC_KK,0.456522138,0.337736876,0.735824319,0.674019695,0.745085315,0.417609444,0.336663025,0.749767816,0.698863552,0.764215686
7,Dul-AAC_FN,0.511353227,0.320326787,0.69801505,0.714194913,0.777875329,0.447874261,0.328588239,0.734435005,0.721427517,0.788235294
8,Dul-AAC_HY,0.528432252,0.314739451,0.685876826,0.726251419,0.786326679,0.483875425,0.318369163,0.710192538,0.74013501,0.808333333
9,Dul-AAC_TA,0.550401559,0.307350438,0.669780367,0.741352864,0.799496126,0.516819365,0.309137224,0.687266382,0.755956033,0.830392157
10,Dul-AAC_RT,0.586808863,0.294724638,0.642268914,0.765727124,0.805466275,0.576621748,0.290681318,0.645992442,0.808249033,0.849509804
11,Dul-AAC_TT,0.586373257,0.294886632,0.64257912,0.765422579,0.813093102,0.580164187,0.288924475,0.641914643,0.807628525,0.87745098
12,SS8_Dual_GG,0.598350759,0.290575661,0.633212284,0.77322152,0.822575104,0.566977183,0.293347857,0.651782375,0.799804026,0.890196078
13,Dul-AAC_AA,0.600420293,0.289836417,0.63156348,0.774554442,0.830637096,0.568016155,0.293351106,0.651330842,0.804594159,0.89754902
14,Dul-AAC_DP,0.601419094,0.289440482,0.630640415,0.775128899,0.833576364,0.583730356,0.287497219,0.638700065,0.811817206,0.905392157
15,Dul-AAC_IY,0.601912633,0.289251637,0.63025188,0.77544804,0.833797763,0.589013189,0.285713878,0.634025465,0.813965613,0.909803922
16,Dul-AAC_YQ,0.603386566,0.288721305,0.629099099,0.776407805,0.83490476,0.591165803,0.284587144,0.632151987,0.815563364,0.915196078
17,Dul-AAC_VH,0.614712318,0.284566523,0.620092988,0.78370617,0.836027026,0.592632115,0.284048843,0.630986405,0.816537622,0.917156863
18,SS8_distribution_C-1.0,0.614712318,0.284566523,0.620092988,0.78370617,0.836027026,0.592632115,0.284048843,0.630986405,0.816537622,0.917156863
19,SS3_distribution_C-1.0,0.614712318,0.284566523,0.620092988,0.78370617,0.836027026,0.592632115,0.284048843,0.630986405,0.816537622,0.917156863
