component,train_R^2,train_RMSE,train_NRMSE,train_Pear,train_Spea,test_R^2,test_RMSE,test_NRMSE,test_Pear,test_Spea
1,0.660618758,0.267014678,0.582442072,0.812737577,0.77594381,0.408352139,0.339677416,0.761814468,0.70518094,0.645098039
2,0.812406707,0.198361938,0.432671776,0.901289407,0.843898156,0.399188574,0.33729139,0.762747659,0.72654105,0.601470588
3,0.89660832,0.147312529,0.321117001,0.946877316,0.924075276,0.354089634,0.354718297,0.796917322,0.713692975,0.579411765
4,0.930885138,0.120468034,0.262601175,0.964817853,0.949727068,0.31397473,0.36383444,0.82115806,0.711083224,0.600980392
5,0.95518097,0.096913617,0.211200547,0.977328545,0.966209871,0.292943176,0.369443268,0.834163019,0.711801736,0.616666667
6,0.968202686,0.081628487,0.177942452,0.983970692,0.976646181,0.236723871,0.383351867,0.866349351,0.699819059,0.585294118
7,0.97802587,0.067822926,0.147911297,0.988950776,0.984379891,0.184933179,0.395406607,0.894174271,0.686507344,0.589215686
8,0.98286843,0.059851946,0.130529483,0.991396354,0.98807497,0.161780954,0.400661164,0.90518568,0.677058474,0.589215686
9,0.987279694,0.051496438,0.112356984,0.993618823,0.990991335,0.103987122,0.410694249,0.931129426,0.670535496,0.601470588
10,0.990331909,0.044697634,0.097584779,0.995153433,0.992930488,0.076274911,0.415163325,0.942211047,0.666926562,0.592156863
